4999,35.55,-0.003,-0.007,1.015,-0.17,-0.02,-0.38,-164.25,357.05,64.18,0.2,4.156,99
5099,35.52,-0.004,-0.011,1.012,-0.23,-0.03,0.08,-167.94,350.82,66.71,0.4,4.154,99
5199,35.47,-0.001,-0.016,1.013,0.20,0.09,-0.35,-155.74,351.05,64.07,0.2,4.154,99
5299,35.52,-0.001,-0.012,1.013,-0.09,0.10,-0.34,-172.21,352.94,72.37,0.3,4.153,99
5399,35.61,-0.002,-0.011,1.012,0.09,0.07,-0.36,-161.86,346.87,68.54,0.3,4.156,99
5499,35.57,-0.006,-0.015,1.007,0.13,0.08,-0.10,-162.82,340.93,73.20,0.2,4.155,99
5599,35.67,0.002,-0.013,1.009,0.06,-0.25,-0.26,-169.40,357.67,67.47,33.9,4.156,99
5699,35.56,0.004,-0.013,1.008,0.02,-0.07,-0.48,-163.53,359.69,70.66,26.4,4.155,99
5799,35.52,0.004,-0.004,1.006,0.26,0.30,-0.38,-170.09,350.16,70.08,0.5,4.154,99
5899,35.54,0.001,-0.011,1.015,0.02,-0.01,-0.14,-169.78,357.35,62.25,0.3,4.155,99
5999,35.56,-0.002,-0.015,1.008,-0.26,-0.02,-0.62,-161.18,354.98,64.59,0.4,4.153,99
6099,35.64,0.002,-0.011,1.010,0.19,0.21,-0.32,-155.04,347.52,70.49,0.4,4.152,99
6199,35.62,0.004,-0.007,1.008,0.04,0.26,-0.28,-163.33,362.52,68.04,0.1,4.154,99
6299,35.72,-0.002,-0.012,1.008,-0.17,-0.01,-0.61,-159.29,344.55,65.33,0.4,4.155,99
6399,35.75,-0.002,-0.011,1.006,-0.11,-0.17,-0.13,-154.38,361.76,72.39,0.2,4.154,99
6499,35.54,-0.001,-0.007,1.010,0.13,-0.04,-0.21,-166.34,349.21,65.95,0.4,4.154,99
6599,35.66,0.002,-0.012,1.008,0.23,-0.18,-0.67,-163.37,342.61,67.99,0.2,4.155,99
6699,35.67,-0.002,-0.010,1.008,0.11,-0.08,-0.24,-164.74,353.18,66.89,0.5,4.155,99
6799,35.66,-0.001,-0.013,1.007,-0.39,-0.42,-0.11,-163.29,353.67,66.91,0.2,4.155,99
6899,35.71,-0.001,-0.009,1.007,-0.12,0.17,-0.32,-167.14,348.39,66.31,30.7,4.153,99
6999,35.80,0.002,-0.009,1.007,0.15,-0.07,-0.29,-156.71,343.19,69.79,0.2,4.154,99
7099,35.75,0.001,-0.012,1.013,0.12,-0.09,-0.49,-166.04,361.82,68.80,0.3,4.152,99
7199,35.72,-0.002,-0.011,1.007,0.22,0.09,-0.45,-161.94,351.39,72.00,0.2,4.154,99
7299,35.70,-0.000,-0.005,1.012,0.26,0.16,-0.51,-154.59,350.00,73.13,0.3,4.153,99
7399,35.71,-0.000,-0.006,1.009,-0.34,0.07,-0.44,-168.84,345.64,67.06,0.3,4.153,99
7499,35.76,0.002,-0.006,1.006,0.09,-0.29,-0.53,-158.69,356.76,62.77,0.3,4.155,99
7599,35.72,0.000,-0.009,1.013,0.03,-0.44,-0.22,-171.80,336.71,72.93,0.1,4.154,99
7699,35.67,0.001,-0.016,1.013,-0.09,-0.13,-0.18,-167.52,351.71,64.25,0.4,4.154,99
7799,35.77,-0.001,-0.007,1.008,0.15,0.14,-0.59,-154.99,349.64,72.67,0.1,4.153,99
7899,35.79,0.001,-0.010,1.010,-0.13,0.03,-0.71,-161.95,336.85,71.53,0.4,4.153,99
7999,35.82,0.000,-0.011,1.010,-0.48,-0.03,-0.35,-163.07,351.72,75.77,0.4,4.157,99
8099,35.75,-0.002,-0.010,1.008,-0.04,-0.11,0.03,-155.80,349.30,71.36,0.5,4.155,99
8199,35.86,0.003,-0.013,1.012,-0.27,0.04,-0.31,-162.16,347.10,70.72,42.4,4.153,99
8299,35.90,0.001,-0.013,1.008,0.06,-0.30,-0.53,-167.07,348.93,73.89,0.4,4.152,99
8399,35.80,0.001,-0.012,1.011,-0.22,-0.35,-0.13,-160.49,356.33,68.69,0.5,4.155,99
8499,35.86,0.001,-0.011,1.013,-0.05,-0.29,-0.37,-153.29,349.53,75.30,16.3,4.152,99
8599,35.87,0.002,-0.008,1.011,-0.15,0.18,-0.60,-167.49,349.71,75.61,0.4,4.153,99
8699,35.87,0.003,-0.014,1.010,-0.24,0.07,-0.20,-172.05,355.53,67.48,0.5,4.155,99
8799,35.93,-0.002,-0.013,1.006,0.15,0.68,-0.03,-164.32,341.60,67.16,0.1,4.154,99
8899,35.90,-0.003,-0.008,1.009,-0.03,0.40,0.15,-160.93,346.57,67.29,0.1,4.154,99
8999,35.90,-0.004,-0.011,1.012,-0.09,0.21,-0.02,-156.94,349.01,67.78,0.4,4.153,99
9099,35.91,-0.000,-0.011,1.008,0.02,0.02,-0.27,-151.57,341.40,71.44,0.3,4.154,99
9199,35.95,0.004,-0.011,1.009,-0.10,-0.04,-0.27,-151.85,343.00,65.57,0.0,4.153,99
9299,36.00,0.001,-0.014,1.006,-0.39,0.06,-0.52,-165.61,359.32,70.18,0.1,4.154,99
9399,35.94,0.001,-0.017,1.016,0.44,0.10,-0.67,-151.79,352.34,70.88,0.1,4.153,99
9499,35.96,0.003,-0.012,1.005,-0.10,-0.11,-0.22,-161.83,347.44,74.20,0.3,4.153,99
9599,35.94,0.001,-0.014,1.012,-0.42,0.01,-0.41,-161.91,341.22,76.32,0.4,4.152,99
9699,36.07,-0.001,-0.010,1.013,0.12,0.18,-0.05,-152.72,347.36,74.21,0.4,4.155,99
9799,35.98,0.001,-0.008,1.014,-0.19,0.07,-0.29,-159.84,351.94,76.91,0.3,4.155,99
9899,35.83,0.002,-0.013,1.008,0.24,-0.36,-0.15,-145.19,337.57,71.30,0.5,4.153,99
9999,36.01,0.002,-0.012,1.011,-0.32,0.10,-0.21,-153.44,351.78,68.96,0.2,4.154,99
10099,35.97,0.004,-0.008,1.011,-0.06,0.27,-0.60,-155.85,344.25,73.06,0.4,4.153,99
10199,36.03,-0.002,-0.005,1.010,-0.03,-0.37,-0.07,-150.13,338.33,72.86,0.6,4.155,99
10299,36.00,-0.001,-0.013,1.012,0.13,0.24,-0.08,-161.61,341.04,70.21,0.4,4.154,99
10399,36.04,0.003,-0.013,1.009,0.22,-0.14,0.06,-159.48,349.86,73.00,0.6,4.153,99
10499,36.03,0.008,-0.014,1.012,0.29,0.22,-0.48,-160.66,345.81,75.07,28.8,4.155,99
10599,35.96,-0.002,-0.010,1.019,0.11,0.26,-0.06,-158.85,355.09,73.84,0.3,4.154,99
10699,35.97,-0.002,-0.011,1.010,-0.00,-0.07,-0.49,-155.70,337.45,74.79,0.2,4.153,99
10799,36.11,-0.001,-0.011,1.012,0.05,-0.08,-0.34,-148.93,334.37,69.87,0.4,4.155,99
10899,36.04,0.002,-0.009,1.016,0.14,0.11,-0.19,-165.33,339.26,71.78,0.1,4.153,99
10999,36.03,-0.005,-0.006,1.009,0.15,0.06,-0.29,-157.52,346.92,66.16,0.2,4.154,99
11099,36.12,-0.005,-0.011,1.014,0.01,0.18,-0.37,-151.96,344.16,80.60,0.3,4.154,99
11199,36.05,-0.005,-0.009,1.010,0.20,-0.02,-0.45,-158.29,340.57,71.64,0.3,4.154,99
11299,36.17,0.001,-0.014,1.014,0.04,-0.01,-0.18,-158.04,352.61,65.32,0.2,4.154,99
11399,36.04,-0.001,-0.009,1.014,-0.09,0.20,-0.34,-156.12,352.55,71.79,0.5,4.154,99
11499,36.19,0.001,-0.007,1.009,0.14,-0.15,-0.12,-157.34,339.48,80.58,0.0,4.153,99
11599,36.15,-0.005,-0.012,1.010,-0.01,0.09,-0.01,-152.71,344.64,71.64,0.3,4.155,99
11699,36.15,-0.001,-0.009,1.010,-0.02,-0.14,-0.50,-158.13,348.69,70.71,0.1,4.154,99
11799,36.21,-0.001,-0.007,1.013,-0.23,0.27,-0.84,-147.96,353.53,74.19,0.3,4.155,99
11899,36.22,0.003,-0.008,1.005,0.31,0.15,-0.26,-160.45,351.85,76.08,0.2,4.154,99
11999,36.13,-0.003,-0.014,1.008,-0.20,0.18,-0.34,-153.52,338.57,71.92,0.5,4.155,99
12099,36.24,-0.003,-0.010,1.010,0.15,0.05,-0.57,-157.53,345.73,75.92,0.2,4.153,99
12199,36.26,0.003,-0.004,1.005,-0.04,0.03,-0.28,-147.94,338.12,75.04,0.2,4.152,99
12299,36.23,-0.002,-0.009,1.006,0.12,-0.20,-0.32,-148.38,341.25,73.21,0.4,4.154,99
12399,36.15,-0.000,-0.007,1.011,-0.06,-0.14,-0.38,-154.87,341.36,70.52,0.1,4.153,99
12499,36.25,0.001,-0.008,1.011,-0.24,0.14,-0.11,-164.80,352.16,72.48,18.5,4.154,99
12599,36.23,-0.005,-0.006,1.012,-0.16,0.19,-0.36,-158.41,343.09,70.10,0.2,4.156,99
12699,36.27,-0.007,-0.009,1.012,-0.19,0.22,-0.59,-158.03,345.32,75.26,0.2,4.154,99
12799,36.16,-0.003,-0.007,1.011,-0.25,-0.22,-0.74,-149.72,349.08,74.74,0.3,4.155,99
12899,36.22,0.001,-0.009,1.013,0.08,-0.30,-0.59,-159.36,339.08,74.88,0.3,4.155,99
12999,36.32,0.006,-0.010,1.017,0.03,-0.09,-0.53,-156.90,338.13,78.10,0.2,4.154,99
13099,36.37,0.001,-0.011,1.010,0.16,0.09,-0.35,-160.09,338.82,73.26,0.2,4.153,99
13199,36.21,0.004,-0.015,1.014,0.05,0.22,-0.52,-160.92,337.74,76.90,0.1,4.153,99
13299,36.37,0.000,-0.007,1.011,0.18,0.04,-0.43,-155.37,342.09,74.41,0.1,4.152,99
13399,36.27,0.003,-0.006,1.011,0.21,-0.06,-0.49,-154.66,339.37,76.50,0.2,4.153,99
13499,36.33,0.001,-0.013,1.011,0.20,0.15,-0.41,-158.57,335.25,74.71,0.5,4.155,99
13599,36.41,-0.005,-0.006,1.012,0.42,-0.13,-0.06,-157.09,341.77,71.05,0.6,4.156,99
13699,36.36,-0.006,-0.007,1.010,-0.23,0.07,-0.44,-160.11,339.85,71.16,0.1,4.153,99
13799,36.34,-0.003,-0.007,1.012,0.17,-0.49,-0.07,-163.30,339.32,69.04,0.2,4.154,99
13899,36.42,0.002,-0.008,1.010,-0.13,-0.20,-0.45,-161.79,339.40,68.68,0.3,4.155,99
13999,36.33,0.001,-0.010,1.010,0.04,-0.14,-0.31,-151.02,340.56,71.37,0.3,4.156,99
14099,36.34,-0.000,-0.012,1.012,0.17,-0.17,-0.09,-160.13,333.11,75.39,0.4,4.152,99
14199,36.45,0.002,-0.010,1.016,0.23,0.52,-0.07,-145.40,333.01,72.76,0.4,4.153,99
