timestamp_ms,temperature_c,acc_x_g,acc_y_g,acc_z_g,gyr_x_dps,gyr_y_dps,gyr_z_dps,mag_x_ut,mag_y_ut,mag_z_ut,mic_level,bat_voltage_v,bat_percent
619289,42.32,-0.0,-0.007,1.009,-0.18,0.18,-0.18,-170.46,378.25,14.36,0.1,4.166,100
619392,42.37,-0.001,-0.01,1.009,-0.12,0.12,-0.18,-146.47,399.24,50.35,0.1,4.166,100
619495,42.39,-0.001,-0.01,1.011,-0.24,0.18,-0.24,-158.47,360.26,32.36,0.1,4.166,100
619598,42.33,0.0,-0.009,1.01,-0.31,0.24,-0.18,-149.47,360.26,59.35,0.1,4.166,100
619701,42.39,-0.0,-0.01,1.011,-0.24,0.24,-0.24,-182.46,351.26,56.35,0.1,4.166,100
619804,42.36,0.002,-0.01,1.01,-0.12,0.31,-0.24,-185.46,387.25,53.35,0.1,4.167,100
619907,42.4,0.001,-0.009,1.012,-0.24,0.24,-0.24,-122.48,384.25,26.36,0.1,4.167,100
620010,42.36,-0.001,-0.01,1.009,-0.24,0.12,-0.31,-137.48,414.24,29.36,0.1,4.167,100
620113,42.36,0.0,-0.009,1.011,-0.31,0.24,-0.24,-173.46,384.25,41.35,0.1,4.167,100
620216,42.39,0.001,-0.009,1.009,-0.24,0.18,-0.37,-167.47,381.25,29.36,0.1,4.167,100
620319,42.37,0.001,-0.009,1.011,-0.18,0.18,-0.18,-167.47,363.26,29.36,0.1,4.167,100
620422,42.34,-0.001,-0.007,1.009,-0.24,0.31,-0.18,-167.47,387.25,56.35,0.1,4.167,100
620525,42.37,-0.002,-0.008,1.009,-0.18,0.12,-0.18,-149.47,384.25,-0.63,0.1,4.167,100
620628,42.37,-0.001,-0.011,1.011,-0.24,0.24,-0.31,-164.47,372.26,14.36,0.1,4.167,100
620731,42.38,-0.001,-0.007,1.012,-0.18,0.18,-0.31,-155.47,360.26,38.35,0.1,4.167,100
620834,42.37,-0.001,-0.01,1.011,-0.12,0.12,-0.24,-155.47,381.25,20.36,0.2,4.167,100
